Title,Artist,Genres,Album,Duration,Img
Mr. Brightside,The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",Hot Fuss,3:42,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
Sorry,Justin Bieber,"['canadian pop', 'pop']",Purpose (Deluxe),3:20,https://i.scdn.co/image/ab67616d0000b273b6d9a4fbb0bd49f0f034aead
Levitating (feat. DaBaby),Dua Lipa,"['dance pop', 'pop', 'uk pop']",Levitating (feat. DaBaby),3:23,https://i.scdn.co/image/ab67616d0000b273c5e7aa639b2920099f8c3b94
Stay With Me,Sam Smith,"['pop', 'uk pop']",In The Lonely Hour,2:52,https://i.scdn.co/image/ab67616d0000b273c1c177e193b3ebf1a16e158f
Die For You,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Starboy,4:20,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,['lgbtq+ hip hop'],MONTERO,3:32,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd
Without Me (with Juice WRLD),Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",Without Me (with Juice WRLD),3:48,https://i.scdn.co/image/ab67616d0000b27384a5651f3ab1604570ea0405
Too Good At Goodbyes,Sam Smith,"['pop', 'uk pop']",The Thrill Of It All (Special Edition),3:21,https://i.scdn.co/image/ab67616d0000b273005cd7d0ae87b081601f6cca
Lean On (feat. MØ & DJ Snake),Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",Peace Is The Mission,2:56,https://i.scdn.co/image/ab67616d0000b2739f55dad3a63f72f1bc8d6f59
Congratulations,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Stoney (Deluxe),3:40,https://i.scdn.co/image/ab67616d0000b2732b6342c296052b7f3658313a
Memories,Maroon 5,['pop'],JORDI (Deluxe),3:09,https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631
Better Now,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",beerbongs & bentleys,3:51,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
